"origId","iceLabel","d","T","Points:0","Points:1","Points:2"
3950,0,2e-08,591.77,-1.05,0.38929,-1.8806e-09
3951,0,2e-08,590.95,-1.0639,0.35078,1.6356e-09
3952,0,2e-08,590.65,-1.0782,0.35054,-2.0523e-09
3953,0,2e-08,590.36,-1.1042,0.15202,-2.8558e-10
3954,0,2e-08,590.09,-1.1181,0.22779,-1.8265e-10
3955,0,2e-08,590.15,-1.1368,0.088846,-2.242e-10
3956,0,2e-08,589.46,-1.1458,0.38481,6.3473e-06
3957,0,2e-08,589.79,-1.1628,0.16342,-6.1294e-10
3958,0,2e-08,588.9,-1.1725,0.31309,-7.1262e-10
3959,0,2e-08,588.21,-1.1847,0.36267,-1.0185e-09
3960,0,2e-08,589.51,-1.2135,0.028105,5.0462e-11
3961,0,2e-08,588.88,-1.2233,0.24634,-1.4902e-09
3962,0,2e-08,588.31,-1.2359,0.30754,1.9646e-09
3963,0,2e-08,588.96,-1.2549,0.1932,-2.5738e-10
3964,0,2e-08,588.19,-1.269,0.30898,7.9101e-10
3965,0,2e-08,588.03,-1.2827,0.33001,-2.8133e-09
3966,0,2e-08,587.91,-1.3011,0.34561,-1.4911e-09
3967,0,2e-08,588,-1.3165,0.36853,-3.2303e-09
3968,0,2e-08,588.78,-1.3364,0.12521,1.0933e-10
3969,0,2e-08,588.4,-1.349,0.26554,1.5903e-09
3970,0,2e-08,588.65,-1.3686,0.15486,8.1315e-20
3971,0,2e-08,588.6,-1.3831,0.16655,1.4412e-10
3972,0,2e-08,588.34,-1.3993,0.28769,-9.9392e-11
3973,0,2e-08,588.37,-1.4148,0.27878,-1.2175e-09
3974,0,2e-08,588.49,-1.431,0.20936,1.8387e-10
3975,0,2e-08,588.32,-1.4478,0.35932,3.1308e-10
3976,0,2e-08,588.58,-1.4652,0.082127,5.9635e-10
3977,0,2e-08,588.42,-1.4804,0.25518,-3.9757e-10
3978,0,2e-08,588.37,-1.4959,0.31943,1.6698e-09
3979,0,2e-08,589.51,-1.519,0.38205,5.8668e-06
3980,0,2e-08,588.47,-1.5113,0.20374,3.0414e-10
3981,0,2e-08,588.44,-1.529,0.23942,-1.0842e-19
3982,0,2e-08,588.42,-1.544,0.29587,-2.5842e-10
3983,0,2e-08,588.43,-1.5601,0.27951,9.7404e-10
3984,0,2e-08,588.43,-1.5763,0.31758,-1.4909e-10
3985,0,2e-08,588.45,-1.5918,0.3657,7.4544e-11
3986,0,2e-08,588.44,-1.6103,0.3413,8.2495e-10
3987,0,2e-08,588.46,-1.6232,0.21981,1.3915e-10
3988,0,2e-08,588.46,-1.6266,0.26547,9.4422e-10
3989,0,2e-08,588.47,-1.6418,0.052877,2.4848e-10
3990,0,2e-08,588.47,-1.6572,0.15695,1.0237e-09
3991,0,2e-08,588.47,-1.6742,0.37199,4.6714e-10
3414,0,2e-08,597.87,-0.97057,0.44718,-1.0929e-06
3775,0,2e-08,597.83,-0.7613,0.48,-1.0402e-07
3875,0,2e-08,593.62,-0.39019,0.38393,-2.9386e-06
3885,0,2e-08,597.2,-0.5051,0.44858,7.4008e-07
3886,0,2e-08,590.08,-0.31958,0.30671,2.756e-09
3887,0,2e-08,592.9,-0.3954,0.3691,9.6382e-07
3888,0,2e-08,593.54,-0.40189,0.38157,1.6294e-06
3889,0,2e-08,592.11,-0.38128,0.35761,1.2666e-09
3890,0,2e-08,588.78,-0.32351,0.11552,1.0031e-10
3892,0,2e-08,590.24,-0.36581,0.19352,3.5253e-10
3893,0,2e-08,592.91,-0.42544,0.35912,-6.4152e-10
3894,0,2e-08,591.08,-0.39893,0.22858,-3.1685e-10
3895,0,2e-08,591.93,-0.42175,0.272,-1.5842e-10
3897,0,2e-08,594.15,-0.48557,0.38468,-1.1353e-06
3896,0,2e-08,590.37,-0.40247,0.050284,5.9052e-11
3898,0,2e-08,592.96,-0.46946,0.32057,2.9251e-09
3899,0,2e-08,594.54,-0.48926,0.39614,3.1184e-06
3900,0,2e-08,593.36,-0.49244,0.32762,1.0236e-09
3901,0,2e-08,595.49,-0.52773,0.41504,8.0815e-07
