origId,d,T,d_nm,Points:0,Points:1,Points:2,iceLabel
3656,2e-08,695.5,20.0,-1.9648,0.96181,3.4457e-09,0
3683,2e-08,695.5,20.0,-1.9972,0.9755299999999999,7.2407e-09,0
3696,2e-08,695.55,20.0,-2.0413,0.9847600000000001,2.8273000000000004e-09,0
3706,2e-08,695.59,20.0,-2.1737,1.0197,4.2053e-09,0
3710,2e-08,695.55,20.0,-2.0765,0.9961700000000001,1.0546e-08,0
3711,2e-08,695.17,20.0,-1.8383,0.8457899999999999,-1.9650000000000002e-10,0
3719,2e-08,695.37,20.0,-1.8943,0.93429,2.5211999999999995e-09,0
3731,2e-08,695.17,20.0,-1.8434,0.8197,-5.8247e-10,0
3734,2e-08,695.13,20.0,-1.8396,0.7643,-3.4753e-09,0
3738,2e-08,695.31,20.0,-1.9017,0.91245,-2.3953e-09,0
3742,2e-08,695.04,20.0,-1.8298,0.637,-4.1573e-09,0
3745,2e-08,695.08,20.0,-1.8559,0.68818,5.951699999999999e-10,0
3747,2e-08,695.26,20.0,-1.9132,0.84609,-1.2893e-10,0
3748,2e-08,695.02,20.0,-1.8383,0.60122,-4.0785e-09,0
3749,2e-08,695.13,20.0,-1.8735,0.71192,-1.3671e-09,0
3750,2e-08,695.13,20.0,-1.8867,0.71909,6.233300000000001e-10,0
3751,2e-08,695.22,20.0,-1.9077,0.79122,-1.3137000000000001e-09,0
3752,2e-08,695.33,20.0,-1.9543,0.9165700000000001,7.4671e-09,0
3754,2e-08,695.39,20.0,-1.9693,0.9436,-4.1526e-09,0
3755,2e-08,695.18,20.0,-1.9087,0.74262,3.7224000000000003e-09,0
3756,2e-08,694.92,20.0,-1.839,0.45195,-1.4661000000000002e-10,0
3757,2e-08,694.9,20.0,-1.8295,0.39511999999999997,-1.15e-10,0
3758,2e-08,695.04,20.0,-1.8731,0.55787,-8.0792e-11,0
3759,2e-08,695.37,20.0,-1.9807,0.9293100000000001,6.024900000000001e-10,0
3760,2e-08,695.24,20.0,-1.9368,0.77191,1.8454e-09,0
3761,2e-08,695.02,20.0,-1.8704,0.51343,1.7526e-09,0
3762,2e-08,694.87,20.0,-1.8457,0.31798000000000004,-1.2443e-09,0
3763,2e-08,694.9,20.0,-1.8563,0.3942,2.7893999999999997e-10,0
3764,2e-08,695.02,20.0,-1.8898,0.5212899999999999,1.3657e-09,0
3765,2e-08,695.0,20.0,-1.8809,0.47281999999999996,2.3868000000000005e-09,0
3766,2e-08,694.98,20.0,-1.8838,0.4418,4.4682e-10,0
3767,2e-08,695.24,20.0,-1.962,0.76452,1.4862e-09,0
3768,2e-08,695.03,20.0,-1.9035,0.49051999999999996,3.6743e-10,0
3769,2e-08,695.34,20.0,-1.9998,0.8895299999999999,1.1099e-09,0
3770,2e-08,695.39,20.0,-2.0189,0.93895,3.5755e-09,0
3771,2e-08,695.47,20.0,-2.0446,0.97519,4.033e-09,0
3772,2e-08,695.27,20.0,-1.9841,0.77787,-1.6085e-09,0
3773,2e-08,695.19,20.0,-1.9656,0.70249,-4.1159e-09,0
3774,2e-08,695.29,20.0,-1.9926,0.79764,5.386000000000001e-10,0
3775,2e-08,695.34,20.0,-2.0115,0.8646799999999999,-2.0499e-09,0
3776,2e-08,695.33,20.0,-2.0121,0.84921,-2.5159000000000004e-09,0
3777,2e-08,695.15,20.0,-1.9622,0.61612,-1.4798e-09,0
3778,2e-08,695.33,20.0,-2.0204,0.84949,-8.2942e-10,0
3779,2e-08,695.24,20.0,-1.9921,0.71191,-1.3571e-09,0
3780,2e-08,695.23,20.0,-1.9944,0.70114,-3.8595e-10,0
3781,2e-08,695.17,20.0,-1.9801,0.60278,9.5045e-10,0
3782,2e-08,695.32,20.0,-2.0242,0.8115600000000001,-3.5172e-09,0
3783,2e-08,695.08,20.0,-1.9606,0.4604,5.363200000000001e-10,0
3784,2e-08,695.08,20.0,-1.9624,0.44983,-1.2634999999999998e-10,0
3785,2e-08,695.21,20.0,-1.9998,0.65449,2.1303000000000004e-09,0
3786,2e-08,694.99,20.0,-1.9436,0.18498,-3.9173e-10,0
3787,2e-08,695.42,20.0,-2.0772,0.95204,5.969300000000001e-09,0
3788,2e-08,695.43,20.0,-2.0809,0.9614799999999999,-1.9567e-09,0
3789,2e-08,695.47,20.0,-2.1234,0.97726,6.6688e-09,0
3790,2e-08,695.17,20.0,-2.0143,0.60685,9.3969e-10,0
3791,2e-08,695.36,20.0,-2.0619,0.84731,-7.965599999999999e-10,0
3792,2e-08,695.44,20.0,-2.0926,0.95815,2.7955e-09,0
3793,2e-08,695.1,20.0,-1.9935,0.40562,-1.2961000000000001e-09,0
3794,2e-08,695.12,20.0,-2.0076,0.47868999999999995,7.1161e-11,0
3795,2e-08,695.17,20.0,-2.0183,0.50773,1.0340000000000002e-09,0
3796,2e-08,695.44,20.0,-2.1088,0.958,-3.4986999999999995e-09,0
3797,2e-08,695.23,20.0,-2.0537,0.6551,-1.7187999999999998e-10,0
3798,2e-08,695.07,20.0,-2.0116,0.33074000000000003,-2.5637e-10,0
3799,2e-08,695.05,20.0,-2.0104,0.27395,3.7630999999999997e-10,0
3800,2e-08,695.41,20.0,-2.106,0.91004,6.6564e-09,0
3801,2e-08,695.39,20.0,-2.1083,0.88246,6.0363e-10,0
3802,2e-08,695.35,20.0,-2.095,0.78962,2.5114000000000002e-09,0
3803,2e-08,695.45,20.0,-2.1263,0.9386700000000001,-5.8153999999999996e-09,0
3804,2e-08,695.11,20.0,-2.0377,0.33869,4.1674000000000005e-10,0
3805,2e-08,695.53,20.0,-2.2547,1.0085,-2.2923e-11,0
3806,2e-08,695.25,20.0,-2.0838,0.64058,-2.5481e-09,0
3807,2e-08,695.36,20.0,-2.1143,0.8175,-1.6747999999999998e-09,0
3808,2e-08,695.44,20.0,-2.1351,0.91576,2.2895e-09,0
3809,2e-08,695.43,20.0,-2.1374,0.90243,5.6908e-09,0
3810,2e-08,695.32,20.0,-2.1101,0.71637,-1.7469e-10,0
3811,2e-08,695.36,20.0,-2.126,0.81125,-2.0968e-09,0
3812,2e-08,695.26,20.0,-2.1008,0.57763,3.1535999999999995e-09,0
3813,2e-08,695.41,20.0,-2.1468,0.8637100000000001,3.3409e-09,0
3814,2e-08,695.18,20.0,-2.0921,0.47671,-9.6384e-10,0
3815,2e-08,695.42,20.0,-2.1574,0.88874,1.2812e-09,0
3816,2e-08,695.31,20.0,-2.1266,0.6933,4.5146e-10,0
3817,2e-08,695.54,20.0,-2.22,1.0182,1.2629e-09,0
3818,2e-08,695.1,20.0,-2.0843,0.024628,-3.0888e-11,0
3819,2e-08,695.12,20.0,-2.0899,0.16111,-7.5653e-10,0
3820,2e-08,695.47,20.0,-2.1769,0.9545600000000001,4.743600000000001e-09,0
3821,2e-08,695.49,20.0,-2.1905,0.9832799999999999,-1.9235e-10,0
3822,2e-08,695.31,20.0,-2.1397,0.6513100000000001,1.3284e-09,0
3823,2e-08,695.16,20.0,-2.1054,0.2144,2.6039999999999995e-10,0
3824,2e-08,695.44,20.0,-2.182,0.91196,2.5658000000000004e-09,0
3825,2e-08,695.47,20.0,-2.1981,0.9616299999999999,2.8145999999999998e-09,0
3826,2e-08,695.6,20.0,-2.221,1.0204,9.7121e-09,0
3827,2e-08,695.41,20.0,-2.1797,0.8292,3.6125e-09,0
3828,2e-08,695.51,20.0,-2.2303,1.0084,4.1287e-10,0
3829,2e-08,695.28,20.0,-2.1546,0.56155,6.0883e-11,0
3830,2e-08,695.33,20.0,-2.1738,0.65003,5.8946e-09,0
3831,2e-08,695.35,20.0,-2.1849,0.71758,-2.108e-10,0
3832,2e-08,695.4,20.0,-2.1947,0.81299,1.6525999999999998e-10,0
3833,2e-08,695.29,20.0,-2.1748,0.53608,8.580700000000001e-10,0
3834,2e-08,695.47,20.0,-2.2185,0.9352299999999999,-3.8082e-10,0
3835,2e-08,695.21,20.0,-2.1627,0.31178,1.0219e-09,0
3836,2e-08,695.26,20.0,-2.1763,0.42886,2.0686e-09,0
3837,2e-08,695.35,20.0,-2.1996,0.7055,3.4506999999999997e-09,0
3838,2e-08,695.27,20.0,-2.1867,0.47097,-6.415900000000001e-10,0
3839,2e-08,695.38,20.0,-2.2165,0.73365,-6.942e-11,0
3840,2e-08,695.22,20.0,-2.1781,0.23721,6.4485e-10,0
3841,2e-08,695.48,20.0,-2.2444,0.94242,2.4595e-09,0
3842,2e-08,695.4,20.0,-2.2315,0.78977,1.8339e-09,0
3843,2e-08,695.56,20.0,-2.2909,1.0243,-2.8176e-10,0
3844,2e-08,695.38,20.0,-2.2287,0.72844,-2.6901999999999997e-09,0
3845,2e-08,695.49,20.0,-2.2635,0.96844,-3.5134e-11,0
3846,2e-08,695.56,20.0,-2.2818,1.0190000000000001,1.3869e-09,0
3847,2e-08,695.28,20.0,-2.214,0.4029,1.4661000000000002e-10,0
