"origId","iceLabel","d","T","Points:0","Points:1","Points:2"
214,0,1e-05,599.84,1.109,0.023685,-7.4446e-07
219,0,1e-05,610,1.0818,0.018478,-2.7811e-07
206,0,1e-05,615.27,1.0716,0.015392,1.3726e-07
223,0,1e-05,596.35,1.0776,0.03238,-1.4456e-07
224,0,1e-05,598.53,1.0668,0.031898,1.5492e-07
226,0,1e-05,607.88,1.0457,0.023499,-5.65e-07
222,0,1e-05,603.6,1.0529,0.026766,5.9095e-08
95,0,1e-05,608.2,0.93459,0.044043,2.685e-07
225,0,1e-05,606.48,1.0222,0.029683,1.7232e-07
217,0,1e-05,590.74,1.0983,0.03967,8.1011e-09
229,0,1e-05,615.31,0.98921,0.025558,6.2966e-08
231,0,1e-05,615.98,0.97697,0.027141,-1.5598e-07
228,0,1e-05,595.91,1.0383,0.041191,1.7661e-07
235,0,1e-05,613.61,0.95653,0.033931,7.2314e-08
221,0,1e-05,555.9,1.0061,0.052327,-5.6201e-07
227,0,1e-05,600.61,1.0232,0.038195,-3.3875e-07
215,0,1e-05,562.47,0.9809,0.052308,-2.0965e-07
208,0,1e-05,449.61,0.84308,0.07671,1.8312e-08
218,0,1e-05,584.7,0.96944,0.049217,-6.9705e-07
242,0,1e-05,610.7,0.90088,0.043995,-1.2668e-09
245,0,1e-05,607.21,0.89184,0.050609,1.029e-07
233,0,1e-05,602.96,0.95018,0.045379,-1.2849e-07
238,0,1e-05,605.39,0.90994,0.049376,-8.8336e-07
246,0,1e-05,605.97,0.84754,0.05973,1.642e-07
241,0,1e-05,585.09,0.86738,0.063089,-1.5223e-07
237,0,1e-05,578.93,0.89386,0.05901,2.7227e-07
232,0,1e-05,573.84,0.9012,0.058848,-1.9668e-07
243,0,1e-05,600.45,0.86615,0.059956,3.8234e-07
220,0,1e-05,494.92,0.84118,0.075233,-2.7551e-07
234,0,1e-05,573.39,0.89843,0.059721,-4.3092e-07
251,0,1e-05,606.12,0.79793,0.075165,-5.9534e-07
249,0,1e-05,608.74,0.7893,0.072207,2.2113e-07
253,0,1e-05,608.65,0.78643,0.077586,1.8643e-07
184,0,1e-05,691.4,0.65275,0.09081,3.18e-08
254,0,1e-05,615.83,0.76595,0.076484,2.135e-07
240,0,1e-05,558.86,0.83851,0.072396,1.5077e-07
247,0,1e-05,637.85,0.73801,0.083347,-1.8427e-08
248,0,1e-05,595.14,0.78179,0.085728,-2.2639e-07
250,0,1e-05,600.21,0.78378,0.084199,9.508e-08
259,0,1e-05,660.52,0.71696,0.090066,1.707e-07
260,0,1e-05,664.1,0.71195,0.095411,-8.841e-08
256,0,1e-05,668.84,0.7055,0.089755,-6.0986e-08
262,0,1e-05,659.41,0.71973,0.097138,3.0768e-07
266,0,1e-05,679.83,0.67663,0.10203,3.813e-07
270,0,1e-05,681.88,0.67035,0.10121,1.8184e-08
