"origId","iceLabel","d","T","Points:0","Points:1","Points:2"
3959,0,2e-08,592.17,-1.0445,0.40383,1.4705e-09
3960,0,2e-08,590.99,-1.0583,0.22235,-1.64e-09
3961,0,2e-08,591.23,-1.0639,0.38114,2.7089e-09
3962,0,2e-08,590.66,-1.0801,0.35276,2.1041e-10
3963,0,2e-08,590.59,-1.0967,0.39428,4.75e-10
3964,0,2e-08,589.99,-1.1159,0.26979,-1.2795e-09
3965,0,2e-08,589.51,-1.1222,0.3837,1.718e-09
3966,0,2e-08,589.77,-1.1459,0.22541,-1.0168e-09
3967,0,2e-08,589.43,-1.1604,0.26694,1.7905e-10
3968,0,2e-08,589.83,-1.1809,0.043021,-1.4252e-10
3969,0,2e-08,589.26,-1.1908,0.24025,-2.0268e-10
3970,0,2e-08,588.05,-1.201,0.36434,-7.9798e-10
3971,0,2e-08,589.07,-1.2254,0.21064,-8.3461e-10
3972,0,2e-08,589.15,-1.2421,0.16063,-2.0427e-10
3973,0,2e-08,588.98,-1.241,0.21096,6.7798e-10
3974,0,2e-08,588.17,-1.2528,0.31664,-2.2167e-10
3975,0,2e-08,589.06,-1.2748,0.13147,9.6662e-10
3976,0,2e-08,589.93,-1.4262,0.38681,-6.7586e-10
3977,0,2e-08,588.59,-1.3041,0.2433,-3.2526e-19
3978,0,2e-08,588.02,-1.317,0.36943,-3.4787e-10
3979,0,2e-08,588.82,-1.3374,0.10253,2.6836e-10
3980,0,2e-08,588.33,-1.3491,0.28673,1.9878e-09
3981,0,2e-08,588.28,-1.3676,0.30212,5.2678e-10
3982,0,2e-08,588.55,-1.3826,0.20455,0
3983,0,2e-08,588.32,-1.3986,0.3672,8.9453e-11
3984,0,2e-08,588.44,-1.4161,0.37301,-5.7548e-10
3985,0,2e-08,588.75,-1.4166,0.37601,-3.2799e-09
3986,0,2e-08,588.33,-1.4301,0.31844,-8.6736e-19
3987,0,2e-08,588.47,-1.4483,0.3734,-9.2434e-10
3988,0,2e-08,588.39,-1.4635,0.29057,1.7347e-18
3989,0,2e-08,588.39,-1.479,0.30179,2.6339e-09
3990,0,2e-08,588.55,-1.4957,0.11868,1.0842e-19
3991,0,2e-08,588.43,-1.5122,0.2714,-1.5406e-09
3992,0,2e-08,588.53,-1.5285,0.12125,-7.9513e-10
3993,0,2e-08,588.47,-1.543,0.22487,9.1291e-10
3994,0,2e-08,588.46,-1.5588,0.26066,7.9513e-10
3995,0,2e-08,588.52,-1.5781,0.067688,-3.9757e-11
3996,0,2e-08,588.49,-1.5939,0.16089,-1.6897e-09
3997,0,2e-08,588.46,-1.6078,0.32966,-8.6471e-10
3998,0,2e-08,588.47,-1.6241,0.28728,9.9392e-11
