"Points:0","Points:1","Points:2"
0.18548,0.20988,0.0018316
0.18548,0.20988,-0.0018316
0.17759,0.21025,-0.0018348
0.17759,0.21025,0.0018348
0.19337,0.20955,0.0018287
0.19337,0.20955,-0.0018287
0.20127,0.20927,0.0018263
0.20127,0.20927,-0.0018263
0.20916,0.20905,0.0018243
0.20916,0.20905,-0.0018243
0.21706,0.20889,0.0018229
0.21706,0.20889,-0.0018229
0.22496,0.20881,0.0018222
0.22496,0.20881,-0.0018222
0.23285,0.20882,0.0018224
0.23285,0.20882,-0.0018224
0.24075,0.20896,0.0018235
0.24075,0.20896,-0.0018235
0.24865,0.20924,0.001826
0.24865,0.20924,-0.001826
0.25653,0.20971,0.0018301
0.25653,0.20971,-0.0018301
0.2644,0.21042,0.0018363
0.2644,0.21042,-0.0018363
0.27223,0.21141,0.0018449
0.27223,0.21141,-0.0018449
0.28002,0.21271,0.0018563
0.28002,0.21271,-0.0018563
0.28776,0.2143,0.0018702
0.28776,0.2143,-0.0018702
0.29546,0.21607,0.0018856
0.29546,0.21607,-0.0018856
0.30315,0.21785,0.0019012
0.30315,0.21785,-0.0019012
0.31087,0.21954,0.0019159
0.31087,0.21954,-0.0019159
0.31862,0.22106,0.0019291
0.31862,0.22106,-0.0019291
0.3264,0.22241,0.0019409
0.3264,0.22241,-0.0019409
0.33358,0.22552,0.001968
0.33358,0.22552,-0.001968
0.34068,0.22898,0.0019983
0.34068,0.22898,-0.0019983
0.34788,0.23222,0.0020266
0.34788,0.23222,-0.0020266
0.35518,0.23524,0.0020529
0.35518,0.23524,-0.0020529
0.36257,0.23802,0.0020772
0.36257,0.23802,-0.0020772
0.37005,0.24058,0.0020995
0.37005,0.24058,-0.0020995
0.3776,0.24289,0.0021197
0.3776,0.24289,-0.0021197
0.38522,0.24497,0.0021379
0.38522,0.24497,-0.0021379
0.3929,0.24681,0.0021539
0.3929,0.24681,-0.0021539
0.40063,0.24841,0.0021679
0.40063,0.24841,-0.0021679
0.40841,0.24977,0.0021797
0.40841,0.24977,-0.0021797
0.41623,0.25088,0.0021894
0.41623,0.25088,-0.0021894
0.42409,0.25175,0.002197
0.42409,0.25175,-0.002197
0.43196,0.25237,0.0022024
0.43196,0.25237,-0.0022024
0.43985,0.25274,0.0022056
0.43985,0.25274,-0.0022056
0.44775,0.25287,0.0022068
0.44775,0.25287,-0.0022068
0.45557,0.25178,0.0021973
0.45557,0.25178,-0.0021973
0.46339,0.25068,0.0021877
0.46339,0.25068,-0.0021877
0.47109,0.24902,0.0021732
0.47109,0.24902,-0.0021732
0.47865,0.24675,0.0021534
0.47865,0.24675,-0.0021534
0.48622,0.24448,0.0021335
0.48622,0.24448,-0.0021335
0.49378,0.24221,0.0021137
0.49378,0.24221,-0.0021137
0.50135,0.23994,0.0020939
0.50135,0.23994,-0.0020939
0.50892,0.23767,0.0020741
0.50892,0.23767,-0.0020741
0.51648,0.2354,0.0020543
0.51648,0.2354,-0.0020543
0.52405,0.23313,0.0020345
0.52405,0.23313,-0.0020345
0.53161,0.23086,0.0020147
0.53161,0.23086,-0.0020147
0.53918,0.22859,0.0019949
0.53918,0.22859,-0.0019949
0.54674,0.22632,0.0019751
0.54674,0.22632,-0.0019751
0.55431,0.22405,0.0019553
0.55431,0.22405,-0.0019553
0.73129,0.10337,0.00090212
0.73129,0.10337,-0.00090212
0.73732,0.10149,-0.00088568
0.73732,0.10149,0.00088568
0.72496,0.10535,0.00091937
0.72496,0.10535,-0.00091937
0.71831,0.10743,0.00093749
0.71831,0.10743,-0.00093749
0.71132,0.10961,0.00095651
0.71132,0.10961,-0.00095651
0.70399,0.11189,0.00097648
0.70399,0.11189,-0.00097648
0.69629,0.1143,0.00099746
0.69629,0.1143,-0.00099746
0.68859,0.1167,0.0010184
0.68859,0.1167,-0.0010184
0.68089,0.1191,0.0010394
0.68089,0.1191,-0.0010394
0.67318,0.12151,0.0010604
0.67318,0.12151,-0.0010604
0.66545,0.12392,0.0010814
0.66545,0.12392,-0.0010814
0.65772,0.12633,0.0011025
0.65772,0.12633,-0.0011025
0.64997,0.12875,0.0011236
0.64997,0.12875,-0.0011236
0.6422,0.13118,0.0011448
0.6422,0.13118,-0.0011448
0.6344,0.13361,0.001166
0.6344,0.13361,-0.001166
0.62657,0.13606,0.0011873
0.62657,0.13606,-0.0011873
0.61872,0.13851,0.0012087
0.61872,0.13851,-0.0012087
0.61083,0.14097,0.0012302
0.61083,0.14097,-0.0012302
0.6029,0.14345,0.0012518
0.6029,0.14345,-0.0012518
0.59492,0.14593,0.0012735
0.59492,0.14593,-0.0012735
0.58691,0.14844,0.0012954
0.58691,0.14844,-0.0012954
0.57884,0.15095,0.0013174
0.57884,0.15095,-0.0013174
0.57072,0.15349,0.0013395
0.57072,0.15349,-0.0013395
0.56254,0.15604,0.0013617
0.56254,0.15604,-0.0013617
0.55431,0.15861,0.0013842
0.55431,0.15861,-0.0013842
0.54681,0.16095,0.0014046
0.54681,0.16095,-0.0014046
0.53932,0.16329,0.001425
0.53932,0.16329,-0.001425
0.53183,0.16563,0.0014454
0.53183,0.16563,-0.0014454
0.52433,0.16797,0.0014658
0.52433,0.16797,-0.0014658
0.51684,0.17031,0.0014862
0.51684,0.17031,-0.0014862
0.50935,0.17264,0.0015066
0.50935,0.17264,-0.0015066
0.50186,0.17498,0.001527
0.50186,0.17498,-0.001527
0.49416,0.17639,0.0015393
0.49416,0.17639,-0.0015393
0.48634,0.17697,0.0015444
0.48634,0.17697,-0.0015444
0.47849,0.17719,0.0015463
0.47849,0.17719,-0.0015463
0.47064,0.17703,0.0015449
0.47064,0.17703,-0.0015449
0.46281,0.17653,0.0015405
0.46281,0.17653,-0.0015405
0.45501,0.17563,0.0015327
0.45501,0.17563,-0.0015327
0.44726,0.17439,0.0015219
0.44726,0.17439,-0.0015219
0.43958,0.1728,0.001508
0.43958,0.1728,-0.001508
0.43198,0.17083,0.0014908
0.43198,0.17083,-0.0014908
0.42448,0.16853,0.0014707
0.42448,0.16853,-0.0014707
0.41709,0.16587,0.0014475
0.41709,0.16587,-0.0014475
0.40975,0.16309,0.0014233
0.40975,0.16309,-0.0014233
0.40237,0.16043,0.0014
0.40237,0.16043,-0.0014
0.39493,0.15791,0.0013781
0.39493,0.15791,-0.0013781
0.38745,0.15553,0.0013573
0.38745,0.15553,-0.0013573
0.37993,0.15328,0.0013377
0.37993,0.15328,-0.0013377
0.37237,0.15118,0.0013193
0.37237,0.15118,-0.0013193
0.36477,0.14921,0.0013021
0.36477,0.14921,-0.0013021
0.35713,0.14739,0.0012862
0.35713,0.14739,-0.0012862
0.34946,0.1457,0.0012715
0.34946,0.1457,-0.0012715
0.34177,0.14416,0.001258
0.34177,0.14416,-0.001258
0.33404,0.14276,0.0012459
0.33404,0.14276,-0.0012459
0.32629,0.14151,0.0012349
0.32629,0.14151,-0.0012349
0.31852,0.14039,0.0012252
0.31852,0.14039,-0.0012252
0.31073,0.13943,0.0012168
0.31073,0.13943,-0.0012168
0.30293,0.1386,0.0012095
0.30293,0.1386,-0.0012095
0.29511,0.13792,0.0012036
0.29511,0.13792,-0.0012036
0.28728,0.13738,0.0011989
0.28728,0.13738,-0.0011989
0.27944,0.13688,0.0011946
0.27944,0.13688,-0.0011946
0.27161,0.13639,0.0011903
0.27161,0.13639,-0.0011903
0.26377,0.1359,0.001186
0.26377,0.1359,-0.001186
0.25594,0.13541,0.0011817
0.25594,0.13541,-0.0011817
0.2481,0.13492,0.0011774
0.2481,0.13492,-0.0011774
0.24027,0.13443,0.0011731
0.24027,0.13443,-0.0011731
0.23243,0.13394,0.0011689
0.23243,0.13394,-0.0011689
0.2246,0.13345,0.0011646
0.2246,0.13345,-0.0011646
0.21676,0.13296,0.0011603
0.21676,0.13296,-0.0011603
0.20893,0.13246,0.001156
0.20893,0.13246,-0.001156
0.20109,0.13197,0.0011517
0.20109,0.13197,-0.0011517
0.19326,0.13148,0.0011474
0.19326,0.13148,-0.0011474
0.18542,0.13099,0.0011431
0.18542,0.13099,-0.0011431
0.17759,0.1305,0.0011389
0.17759,0.1305,-0.0011389
0.54643,0.22729,-0.0019835
0.54643,0.22729,0.0019835
0.53856,0.23048,-0.0020114
0.53856,0.23048,0.0020114
0.5307,0.23363,-0.0020389
0.5307,0.23363,0.0020389
0.52285,0.23674,-0.002066
0.52285,0.23674,0.002066
0.515,0.23978,-0.0020926
0.515,0.23978,0.0020926
0.50715,0.24278,-0.0021187
0.50715,0.24278,0.0021187
0.4993,0.24572,-0.0021443
0.4993,0.24572,0.0021443
0.49146,0.2486,-0.0021695
0.49146,0.2486,0.0021695
0.48362,0.25142,-0.0021941
0.48362,0.25142,0.0021941
0.47578,0.25419,-0.0022183
0.47578,0.25419,0.0022183
0.46794,0.25689,-0.0022419
0.46794,0.25689,0.0022419
0.4601,0.25954,-0.002265
0.4601,0.25954,0.002265
0.45226,0.26213,-0.0022876
0.45226,0.26213,0.0022876
0.44443,0.26467,-0.0023097
0.44443,0.26467,0.0023097
0.43659,0.26714,-0.0023313
0.43659,0.26714,0.0023313
0.42875,0.26956,-0.0023524
0.42875,0.26956,0.0023524
0.42092,0.27192,-0.002373
0.42092,0.27192,0.002373
0.41309,0.27422,-0.0023931
0.41309,0.27422,0.0023931
0.40525,0.27646,-0.0024126
0.40525,0.27646,0.0024126
0.39742,0.27865,-0.0024317
0.39742,0.27865,0.0024317
0.38959,0.28077,-0.0024503
0.38959,0.28077,0.0024503
0.38176,0.28285,-0.0024684
0.38176,0.28285,0.0024684
0.37392,0.28486,-0.0024859
0.37392,0.28486,0.0024859
0.36609,0.28682,-0.002503
0.36609,0.28682,0.002503
0.35826,0.28872,-0.0025196
0.35826,0.28872,0.0025196
0.35043,0.29057,-0.0025357
0.35043,0.29057,0.0025357
0.34261,0.29235,-0.0025513
0.34261,0.29235,0.0025513
0.33478,0.29409,-0.0025665
0.33478,0.29409,0.0025665
0.32695,0.29577,-0.0025811
0.32695,0.29577,0.0025811
0.31912,0.29739,-0.0025953
0.31912,0.29739,0.0025953
0.3113,0.29895,-0.0026089
0.3113,0.29895,0.0026089
0.30347,0.30047,-0.0026221
0.30347,0.30047,0.0026221
0.29564,0.30192,-0.0026348
0.29564,0.30192,0.0026348
0.28782,0.30332,-0.0026471
0.28782,0.30332,0.0026471
0.27999,0.30467,-0.0026588
0.27999,0.30467,0.0026588
0.27216,0.30596,-0.0026701
0.27216,0.30596,0.0026701
0.26434,0.3072,-0.0026809
0.26434,0.3072,0.0026809
0.25651,0.30838,-0.0026912
0.25651,0.30838,0.0026912
0.24869,0.30951,-0.0027011
0.24869,0.30951,0.0027011
0.24086,0.31059,-0.0027105
0.24086,0.31059,0.0027105
0.23304,0.31161,-0.0027194
0.23304,0.31161,0.0027194
0.22521,0.31257,-0.0027278
0.22521,0.31257,0.0027278
0.21739,0.31349,-0.0027358
0.21739,0.31349,0.0027358
0.20956,0.31435,-0.0027433
0.20956,0.31435,0.0027433
0.20174,0.31515,-0.0027503
0.20174,0.31515,0.0027503
0.19391,0.3159,-0.0027568
0.19391,0.3159,0.0027568
0.18609,0.3166,-0.0027629
0.18609,0.3166,0.0027629
0.17826,0.31725,-0.0027686
0.17826,0.31725,0.0027686
0.17043,0.31784,-0.0027737
0.17043,0.31784,0.0027737
0.16261,0.31837,-0.0027784
0.16261,0.31837,0.0027784
0.15478,0.31886,-0.0027826
0.15478,0.31886,0.0027826
0.14695,0.31929,-0.0027864
0.14695,0.31929,0.0027864
0.13912,0.31967,-0.0027897
0.13912,0.31967,0.0027897
0.13129,0.31999,-0.0027925
0.13129,0.31999,0.0027925
0.12346,0.32026,-0.0027949
0.12346,0.32026,0.0027949
0.11563,0.32048,-0.0027968
0.11563,0.32048,0.0027968
0.1078,0.32065,-0.0027982
0.1078,0.32065,0.0027982
0.18239,0.12908,0.0011264
0.18239,0.12908,-0.0011264
0.17759,0.12908,-0.0011264
0.17759,0.12908,0.0011264
0.18719,0.12908,0.0011264
0.18719,0.12908,-0.0011264
0.19199,0.12908,0.0011264
0.19199,0.12908,-0.0011264
0.19679,0.12908,0.0011264
0.19679,0.12908,-0.0011264
0.2016,0.12908,0.0011264
0.2016,0.12908,-0.0011264
0.2064,0.12908,0.0011264
0.2064,0.12908,-0.0011264
0.2112,0.12908,0.0011264
0.2112,0.12908,-0.0011264
0.216,0.12908,0.0011264
0.216,0.12908,-0.0011264
0.2208,0.12908,0.0011264
0.2208,0.12908,-0.0011264
0.2256,0.12908,0.0011264
0.2256,0.12908,-0.0011264
0.2304,0.12908,0.0011264
0.2304,0.12908,-0.0011264
0.2352,0.12908,0.0011264
0.2352,0.12908,-0.0011264
0.24001,0.12908,0.0011264
0.24001,0.12908,-0.0011264
0.24481,0.12908,0.0011264
0.24481,0.12908,-0.0011264
0.24961,0.12908,0.0011264
0.24961,0.12908,-0.0011264
0.25441,0.12908,0.0011264
0.25441,0.12908,-0.0011264
0.25921,0.12908,0.0011264
0.25921,0.12908,-0.0011264
0.26401,0.12908,0.0011264
0.26401,0.12908,-0.0011264
0.26881,0.12908,0.0011264
0.26881,0.12908,-0.0011264
0.27361,0.12908,0.0011264
