cluster,temperature,ice_particles,ice_mass,ice_length
1,269.054,4909,0.002683116344757564,4.076
2,287.73,38,3.233873297891465e-05,0.005
3,266.051,420,0.00025051003006727187,0.178
4,285.52,38,2.966625501781462e-05,0.006
5,290.17,38,2.3863110884311463e-05,0.028
6,296.1,38,2.8097771749985877e-05,0.037
7,305.86,38,2.6431099491845255e-05,0.001
8,313.36,38,3.308187578647912e-05,0.009
9,306.64,38,3.0183899420585545e-05,0.029
10,271.18,59,3.2780678496245314e-05,0.111
11,327.61,38,2.4925902895306107e-05,0.036
12,370.47,38,2.720947616317185e-05,0.002
13,382.1,38,2.9749587146193653e-05,0.037
14,314.198,84,4.1911566412387756e-05,0.138
all,272.593,5852,0.003293866331268111,4.076
