cluster,nodeCluster,temperature,ice_particles,ice_mass,ice_length
2,82,230.325,2602,3.401484690632434e-06,8.181
3,83,220.048,2291,3.331801478396026e-07,45.629
4,84,232.512,2088,1.0854586518476816e-06,8.477
5,85,231.179,999,2.778125479820706e-07,6.317
6,86,230.591,532,5.865820211346101e-08,2.992
7,87,230.206,380,2.259510158458883e-09,2.916
8,88,233.498,190,2.593475975727195e-07,2.566
9,89,229.445,152,7.415765888474647e-11,1.653
10,90,228.61,152,4.3213667383461325e-09,1.76
11,91,235.77,76,8.729604400791056e-12,0.865
12,92,245.795,76,5.634667023163778e-11,0.925
all,all,228.623,9538,5.422661948818095e-06,49.071
