"cellId","origId","iceLabel","Points:0","Points:1","Points:2"
2297,5317,0,1.0477,0.048781,6.875e-08
2278,5326,0,1.0425,0.043984,4.0424e-07
2304,5339,0,0.98584,0.047946,5.1152e-08
2369,5283,0,0.94593,0.059055,-3.4822e-07
2748,5277,0,0.94085,0.053921,7.8294e-07
1724,5174,0,0.76745,0.080777,3.7094e-07
1569,5303,0,0.73611,0.10185,-1.7763e-07
2290,5280,0,0.87659,0.067696,2.1235e-08
2656,5269,0,1.0251,0.036449,-8.6681e-07
1976,5309,0,0.81214,0.08186,1.5974e-07
834,5307,0,0.64837,0.12852,-5.7049e-08
2389,5330,0,0.90651,0.05767,1.0727e-06
2213,5325,0,0.85807,0.07096,-2.0212e-07
2751,5331,0,0.92163,0.054988,8.2172e-07
2679,5336,0,0.98844,0.038734,1.4942e-07
1769,5321,0,0.77488,0.089778,-1.4848e-08
2733,5338,0,0.95084,0.048101,1.3826e-07
2010,5278,0,0.8144,0.079017,3.4911e-08
1339,5235,0,0.70925,0.095366,-1.3626e-07
2331,5335,0,0.88595,0.059896,4.524e-07
2686,5342,0,0.93317,0.040044,4.2938e-08
2386,5344,0,0.90691,0.049897,2.5917e-07
2647,5337,0,0.94253,0.033333,1.6699e-07
2647,5340,0,0.94696,0.034229,3.7385e-09
2210,5345,0,0.8551,0.065291,-2.0995e-07
1530,5348,0,0.73276,0.099537,1.9578e-07
904,5333,0,0.65618,0.12589,5.1584e-08
2007,5350,0,0.81905,0.07342,2.4347e-07
1492,5347,0,0.7277,0.099389,5.8698e-08
1972,5349,0,0.80807,0.076908,-1.9043e-07
2208,5353,0,0.85418,0.062106,-6.0474e-07
309,5128,0,0.58515,0.14745,-3.6602e-08
2039,5355,0,0.82111,0.069281,5.8428e-08
1317,5352,0,0.70631,0.10569,3.8371e-07
1565,5351,0,0.73512,0.099448,-7.6991e-08
1663,5354,0,0.75558,0.091572,-2.0966e-07
1683,5341,0,0.76142,0.076894,1.0709e-07
1898,5356,0,0.79809,0.072403,-1.6564e-07
1726,5359,0,0.76694,0.08323,-7.6043e-08
1624,5358,0,0.74929,0.088627,-1.1552e-07
1826,5328,0,0.78338,0.074368,-1.4593e-07
1247,5361,0,0.69655,0.10827,2.2615e-08
1473,5343,0,0.72863,0.08644,-7.7269e-08
1000,5364,0,0.66819,0.11379,-1.5033e-07
969,5363,0,0.66575,0.11799,-1.0612e-07
1141,5365,0,0.68598,0.10976,-4.715e-07
928,5370,0,0.66068,0.11341,-1.7407e-07
1264,5366,0,0.70049,0.092924,-1.0421e-07
1063,5371,0,0.67847,0.10532,1.8414e-07
960,5372,0,0.66728,0.10918,-8.3745e-08
1163,5367,0,0.68802,0.098864,2.5676e-08
765,5329,0,0.64557,0.088659,3.1338e-08
959,5374,0,0.66494,0.109,6.9529e-07
859,5375,0,0.65431,0.11569,1.7886e-07
752,5369,0,0.64045,0.11529,5.8194e-07
1124,5368,0,0.68406,0.0958,-1.9036e-07
815,5373,0,0.65023,0.10648,1.7988e-07
981,5362,0,0.66981,0.095739,1.8286e-07
652,5377,0,0.62968,0.12402,4.5923e-08
686,5378,0,0.6344,0.12261,-3.851e-07
748,5379,0,0.64145,0.11108,1.193e-07
840,5360,0,0.65424,0.096262,-2.4134e-07
412,5384,0,0.59869,0.14006,-1.4714e-07
715,5386,0,0.63756,0.11353,-3.4902e-07
555,5332,0,0.62146,0.089253,-1.3549e-08
712,5383,0,0.63527,0.11047,1.0494e-07
814,5381,0,0.65008,0.10499,6.5515e-09
544,5393,0,0.61706,0.12282,4.93e-07
541,5388,0,0.61485,0.11925,4.3264e-08
595,5382,0,0.62549,0.096447,-1.607e-07
503,5392,0,0.61146,0.11499,-1.6141e-07
267,5391,0,0.58182,0.13629,1.6073e-08
267,5387,0,0.58165,0.13656,-6.9174e-07
427,5395,0,0.60399,0.10708,3.512e-08
360,5396,0,0.59688,0.11244,-1.6335e-07
360,5397,0,0.59596,0.11293,3.559e-08
393,5394,0,0.59899,0.10942,-3.2692e-08
422,5385,0,0.60379,0.099656,-3.5525e-07
46,5346,0,0.5515,0.14733,-1.604e-06
256,5403,0,0.58414,0.11635,-3.1357e-07
25,5334,0,0.55067,0.15057,-8.9034e-07
192,5404,0,0.57549,0.12827,-7.4193e-08
158,5405,0,0.57237,0.12935,-3.1878e-08
189,5412,0,0.57652,0.12217,-8.6316e-08
126,5401,0,0.56495,0.13636,-2.232e-07
70,5400,0,0.5569,0.14632,4.7932e-07
284,5389,0,0.5889,0.10507,-4.4525e-07
187,5406,0,0.57331,0.12021,7.0653e-07
68,5402,0,0.55554,0.1437,-7.5083e-08
151,5408,0,0.56817,0.11872,8.0198e-09
210,5398,0,0.57856,0.09872,-5.6855e-07
112,5407,0,0.56507,0.11172,2.9539e-07
77,5409,0,0.56384,0.11148,-1.4944e-07
37,5410,0,0.55404,0.13124,-7.1975e-07
36,5413,0,0.55382,0.1278,-6.1978e-08
143,5411,0,0.5708,0.10386,2.4811e-07
2695,5323,0,1.0217,0.042193,2.0665e-07
2658,5357,0,0.53387,0.15364,-2.5858e-08
1995,5376,0,0.45192,0.089117,-1.2235e-07
2619,5380,0,0.53121,0.14655,4.3998e-08
2478,5390,0,0.51214,0.14726,-2.0735e-07
2653,5399,0,0.53428,0.14441,8.6109e-07
2663,5414,0,0.53774,0.094629,-2.3521e-07
2682,5415,0,0.54182,0.13176,-8.2262e-07
2683,5416,0,0.54044,0.13454,-3.0348e-07
2577,5417,0,0.52745,0.13381,3.9906e-07
2731,5418,0,0.54675,0.11304,1.2739e-07
2668,5419,0,0.54183,0.10563,6.2445e-08
2639,5420,0,0.5331,0.11753,-2.1481e-07
2545,5421,0,0.52014,0.1404,3.5815e-08
2312,5422,0,0.49138,0.094082,-2.0136e-07
2646,5423,0,0.53276,0.13154,-2.9892e-07
2543,5424,0,0.51895,0.13718,-1.9601e-07
2524,5425,0,0.52005,0.097999,1.2035e-07
2637,5426,0,0.53343,0.11299,-1.5534e-07
2500,5427,0,0.51793,0.12104,-9.6448e-07
2526,5428,0,0.52126,0.10256,-1.1042e-07
2511,5429,0,0.51706,0.14275,-1.1154e-06
2418,5430,0,0.50786,0.096419,7.1974e-07
2500,5431,0,0.51558,0.12079,-6.9646e-08
2436,5432,0,0.50553,0.13426,-4.9131e-07
2397,5433,0,0.50206,0.12658,6.2346e-07
2367,5434,0,0.49648,0.13712,-1.3985e-07
2285,5435,0,0.48742,0.11191,7.3191e-07
