"cellId","origId","iceLabel","Points:0","Points:1","Points:2"
2302,1484,0,0.99842,0.049657,6.6004e-07
2291,1500,0,1.0096,0.046587,-1.0448e-07
2245,1435,0,0.86319,0.072613,2.6642e-07
1670,1470,0,0.7508,0.097561,1.5483e-07
2652,1493,0,1.0611,0.037286,1.1397e-07
2655,1497,0,1.0375,0.037257,1.1942e-07
2181,1499,0,0.85268,0.070055,-2.8389e-07
1533,1465,0,0.73087,0.10276,-1.5887e-07
2695,1502,0,1.0163,0.041486,1.4953e-07
1803,1479,0,0.77731,0.088638,-5.8839e-08
2619,1498,0,1.019,0.032328,-9.8578e-08
2620,1501,0,1.0095,0.031775,-1.896e-08
2657,1507,0,1.0204,0.035392,-7.121e-08
2148,1506,0,0.8437,0.07267,-4.3029e-08
2640,1505,0,0.99897,0.032665,2.3962e-08
1532,1496,0,0.73177,0.10146,1.2759e-08
2386,1508,0,0.9059,0.049154,-3.2771e-07
1942,1511,0,0.80543,0.083584,-2.5546e-07
2645,1503,0,0.96194,0.034763,3.9673e-07
2644,1509,0,0.9657,0.033721,-2.0299e-07
1873,1516,0,0.78934,0.087103,-1.2671e-07
2145,1515,0,0.84189,0.067554,3.0957e-07
2310,1525,0,0.88233,0.0632,-6.7048e-07
1871,1512,0,0.78989,0.084269,-4.8563e-08
1424,1513,0,0.71923,0.10304,-1.4906e-07
1110,1521,0,0.68154,0.11471,1.2966e-07
1042,1519,0,0.67521,0.11813,-6.9094e-08
1831,1522,0,0.78701,0.078941,2.4325e-07
1657,1495,0,0.75535,0.085842,-2.7838e-07
587,1486,0,0.61974,0.13429,1.9804e-08
1559,1536,0,0.73502,0.09536,-9.1874e-08
1110,1526,0,0.68008,0.1146,3.8562e-08
1897,1518,0,0.79927,0.07046,5.9279e-08
1621,1531,0,0.74985,0.08661,-2.3709e-08
1246,1530,0,0.69768,0.10669,3.9153e-07
1037,1527,0,0.67517,0.11402,-1.8897e-08
1865,1524,0,0.79359,0.076275,1.5863e-07
1558,1533,0,0.73427,0.094985,-3.7607e-07
1686,1523,0,0.76029,0.079374,-1.5638e-08
520,1451,0,0.61765,0.088503,6.561e-08
725,1532,0,0.63484,0.12713,-4.6034e-07
960,1537,0,0.66383,0.10995,-4.4848e-07
588,1520,0,0.6195,0.13492,1.234e-06
1122,1528,0,0.68747,0.093533,-8.8148e-08
1162,1534,0,0.68877,0.097561,1.9002e-07
913,1514,0,0.6631,0.099045,1.6297e-08
900,1544,0,0.65548,0.12188,-1.4253e-08
1199,1541,0,0.69567,0.098243,2.5939e-07
1029,1545,0,0.67555,0.10618,-1.4675e-07
989,1543,0,0.67082,0.10339,-3.0814e-07
890,1546,0,0.6586,0.11096,7.779e-08
485,1475,0,0.61169,0.088453,8.1897e-08
791,1548,0,0.64376,0.12029,-2.2744e-07
517,1540,0,0.6105,0.13698,-9.0354e-07
853,1549,0,0.65231,0.10901,3.8511e-07
720,1550,0,0.63626,0.12003,4.9375e-08
678,1552,0,0.63415,0.11181,-1.285e-07
713,1556,0,0.63608,0.11147,-6.4154e-07
511,1535,0,0.61391,0.12732,-2.0868e-08
540,1558,0,0.61618,0.11819,1.0617e-07
610,1557,0,0.62257,0.11648,-1.348e-07
705,1554,0,0.63831,0.10087,8.4462e-07
372,1539,0,0.59441,0.13209,-6.4705e-07
702,1555,0,0.63727,0.097342,-3.2746e-07
570,1560,0,0.62001,0.11063,1.4759e-07
475,1547,0,0.60597,0.12728,1.1048e-07
629,1553,0,0.6291,0.095006,-1.7275e-07
538,1559,0,0.61637,0.11444,-3.5857e-08
504,1562,0,0.61104,0.1171,-2.4661e-07
235,1542,0,0.57895,0.14072,-1.3895e-07
566,1561,0,0.61838,0.10401,1.929e-07
133,1529,0,0.56564,0.14928,-1.9391e-07
432,1565,0,0.60179,0.11584,2.1445e-07
364,1569,0,0.59339,0.1206,-5.1458e-07
349,1551,0,0.59726,0.095097,-4.575e-07
323,1570,0,0.58979,0.11093,-6.8598e-09
385,1567,0,0.59748,0.097261,5.5953e-07
94,1568,0,0.56346,0.14176,3.1199e-09
276,1504,0,0.58725,0.091296,4.3284e-07
70,1538,0,0.55703,0.14769,1.1057e-06
64,1574,0,0.55913,0.13606,1.8649e-07
150,1580,0,0.56836,0.11662,-1.0634e-08
181,1576,0,0.57485,0.10805,1.2133e-07
20,1575,0,0.55074,0.13978,2.1259e-07
40,1581,0,0.55208,0.13617,7.127e-08
57,1583,0,0.55823,0.12322,3.127e-08
137,1573,0,0.57165,0.093631,-1.5095e-07
2754,1477,0,0.94283,0.05663,7.8809e-08
2693,1483,0,1.0369,0.041384,-1.2696e-07
3,1571,0,0.54371,0.1408,2.0727e-07
2761,1490,0,0.91825,0.059771,1.9149e-07
104,1578,0,0.56483,0.09607,1.6547e-06
2447,1510,0,0.50443,0.15673,-2.9219e-07
2345,1517,0,0.49871,0.089242,-1.1121e-07
2031,1563,0,0.45495,0.091712,-6.4282e-07
2581,1564,0,0.5246,0.14291,-3.0835e-07
2514,1566,0,0.51365,0.14999,5.4198e-07
2486,1572,0,0.51498,0.091584,-1.0649e-07
2618,1577,0,0.52846,0.1448,3.1941e-08
2592,1579,0,0.52924,0.094049,1.5786e-07
2416,1582,0,0.50552,0.09244,-1.3418e-07
2734,1584,0,0.54831,0.11724,-9.5258e-07
2700,1585,0,0.54618,0.099885,-2.2625e-08
2723,1586,0,0.55026,0.097302,3.876e-07
2671,1587,0,0.54126,0.11145,-3.7356e-07
2370,1588,0,0.49752,0.14417,-1.1735e-06
2477,1589,0,0.50947,0.1468,1.3768e-07
2706,1590,0,0.54487,0.11092,7.3467e-08
2637,1591,0,0.53467,0.11398,9.7686e-07
2544,1592,0,0.52241,0.13831,9.1201e-08
2566,1593,0,0.52638,0.11081,5.326e-07
2265,1594,0,0.48366,0.14461,-3.0328e-09
2612,1595,0,0.52795,0.13326,7.0077e-08
2562,1596,0,0.52761,0.10448,-2.6271e-07
2497,1597,0,0.51726,0.11501,6.5031e-07
2474,1598,0,0.50888,0.13896,-1.8211e-07
2453,1599,0,0.50979,0.09635,-6.8606e-08
2334,1600,0,0.49115,0.14254,-1.4742e-08
2496,1601,0,0.51761,0.11143,7.0933e-07
2299,1602,0,0.48671,0.14108,-7.6925e-07
2400,1603,0,0.50157,0.13132,-6.7142e-08
2427,1604,0,0.50718,0.11509,5.0776e-08
2264,1605,0,0.48229,0.14132,-2.3016e-06
2456,1606,0,0.51187,0.10305,5.5868e-07
2227,1607,0,0.47837,0.13863,4.9277e-07
2428,1608,0,0.50521,0.11762,3.7727e-07
2297,1609,0,0.48586,0.13802,-4.0538e-07
2322,1610,0,0.49265,0.11586,-1.7828e-07
2322,1611,0,0.49097,0.11633,2.6179e-07
2286,1612,0,0.48676,0.1132,4.1264e-08
2253,1613,0,0.48384,0.11893,4.2215e-07
2211,1614,0,0.47796,0.10316,9.561e-08
1883,1615,0,0.42883,0.14226,-4.3553e-08
2216,1616,0,0.47961,0.11434,8.6419e-08
2182,1617,0,0.47581,0.11671,2.7623e-07
2104,1618,0,0.46605,0.097684,3.9534e-07
2153,1619,0,0.46856,0.12788,1.4642e-08
2148,1620,0,0.4675,0.1181,-1.4613e-07
2053,1621,0,0.45377,0.13882,-4.8241e-07
2078,1622,0,0.46087,0.11842,-3.2543e-07
2052,1623,0,0.45451,0.13612,2.0263e-08
2083,1624,0,0.45715,0.12854,-1.1509e-06
2080,1625,0,0.4569,0.12049,-1.6569e-06
2013,1626,0,0.45006,0.12611,-8.5159e-08
2013,1627,0,0.44809,0.12668,1.2324e-06
1967,1628,0,0.44666,0.10457,-4.4202e-07
1943,1629,0,0.44201,0.1266,5.8038e-07
1895,1630,0,0.43832,0.1001,3.9638e-08
1903,1631,0,0.43736,0.11468,-5.932e-09
1900,1632,0,0.43408,0.1097,7.7997e-08
1295,1633,0,0.35421,0.088754,-4.4412e-08
1867,1634,0,0.42979,0.11208,-1.3018e-06
1835,1635,0,0.42867,0.11771,-2.9122e-07
1839,1636,0,0.42522,0.12396,1.5753e-07
1802,1637,0,0.42171,0.1211,2.7227e-07
1774,1638,0,0.41733,0.13229,-1.1012e-06
1759,1639,0,0.41719,0.10607,6.708e-07
1743,1640,0,0.41079,0.13756,1.8917e-07
1758,1641,0,0.41563,0.10303,-3.9574e-07
1724,1642,0,0.4111,0.10551,-1.9048e-08
1687,1643,0,0.40781,0.10079,-1.4966e-08
1650,1644,0,0.40295,0.098221,-5.1511e-07
1664,1645,0,0.40156,0.12024,-7.2015e-07
1638,1646,0,0.39911,0.13315,6.1565e-07
1596,1647,0,0.39621,0.12292,-1.8355e-07
1568,1648,0,0.38987,0.13123,-1.0202e-07
1590,1649,0,0.3922,0.11215,5.8308e-08
1547,1650,0,0.38857,0.10047,6.1667e-08
1515,1651,0,0.38496,0.10368,5.722e-07
1483,1652,0,0.38225,0.10886,-9.9361e-13
1484,1653,0,0.37893,0.10868,-2.6462e-10
1455,1654,0,0.37604,0.11766,-5.2401e-08
1407,1655,0,0.37199,0.098382,-6.0362e-07
1368,1656,0,0.36559,0.092746,2.0267e-07
1388,1657,0,0.3658,0.12029,1.8415e-07
1355,1658,0,0.36147,0.12198,-2.899e-08
1323,1659,0,0.35832,0.12634,-1.0427e-07
1270,1660,0,0.35343,0.10236,1.3851e-10
1228,1661,0,0.34736,0.093304,-1.4353e-07
1250,1662,0,0.34715,0.12028,2.1522e-10
1215,1663,0,0.3433,0.12006,1.6072e-10
1159,1664,0,0.33635,0.094403,1.5835e-07
1164,1665,0,0.33538,0.10059,-3.0176e-11
1149,1666,0,0.33523,0.12369,-1.8167e-07
1100,1667,0,0.32705,0.10743,9.5206e-11
874,1668,0,0.29572,0.1282,-4.242e-08
1040,1669,0,0.3196,0.11842,-2.9731e-10
1023,1670,0,0.31651,0.098088,1.0307e-07
958,1671,0,0.31141,0.10381,2.7476e-11
958,1672,0,0.30751,0.10442,-5.7306e-10
917,1673,0,0.30355,0.097385,1.8749e-10
885,1674,0,0.30032,0.10086,2.6745e-10
903,1675,0,0.2988,0.12181,-1.5293e-08
838,1676,0,0.29103,0.12788,6.6979e-09
837,1677,0,0.29113,0.12616,-4.6856e-07
819,1678,0,0.28808,0.10561,1.7202e-10
799,1679,0,0.28471,0.12281,-3.9997e-07
762,1680,0,0.27988,0.12052,3.2658e-10
