Timesteps,Total,noIce,Ice,Percentage,Temp
0.06,424,421,3,0.71,596.57
0.07,849,718,131,15.43,455.57
0.08,1274,770,504,39.56,385.02
0.09,1701,918,783,46.03,347.19
0.1,2125,1331,794,37.36,322.4
0.11,2215,1402,813,36.7,319.03
0.12,2227,1419,808,36.28,317.41
0.13,2216,1431,785,35.42,318.26
0.14,2215,1431,784,35.4,318.98
0.15,2200,1399,801,36.41,319.69
0.16,2204,1408,796,36.12,319.52
0.17,2217,1419,798,35.99,318.56
0.18,2217,1426,791,35.68,319.31
0.19,2232,1436,796,35.66,318.07
0.2,2221,1406,815,36.7,317.84
