Timesteps,TotalParticles,noIce,Ice,NewIce,TotalIcePercentage,Temp,TotalNonIce,newIcePercentage
0.06,421,418,3,3,0.71,604.26,421,0.71
0.07,840,709,131,128,15.6,461.99,837,15.29
0.08,1269,794,475,344,37.43,393.59,1138,30.23
0.09,1695,911,784,436,46.25,355.79,1220,35.74
0.1,2114,1295,819,391,38.74,332.04,1330,29.4
0.11,2190,1358,832,413,37.99,329.25,1371,30.12
0.12,2193,1365,828,424,37.76,328.18,1361,31.15
0.13,2171,1363,808,440,37.22,329.26,1343,32.76
0.14,2175,1364,811,424,37.29,330.16,1367,31.02
0.15,2183,1357,826,411,37.84,328.92,1372,29.96
0.16,2174,1359,815,439,37.49,329.36,1348,32.57
0.17,2177,1365,812,426,37.3,329.26,1362,31.28
0.18,2190,1351,839,402,38.31,330.73,1378,29.17
0.19,2181,1362,819,443,37.55,329.0,1342,33.01
0.2,2189,1351,838,406,38.28,328.5,1370,29.64
