temperature,pressure
591.623,587.508
594.147,600.042
591.706,595.01
591.136,593.03
591.336,593.731
591.609,594.498
590.787,591.788
591.467,593.912
590.477,590.691
590.543,590.915
590.425,590.417
590.13,589.43
585.973,570.628
589.669,587.808
589.929,586.449
586.435,571.283
589.205,585.758
588.955,583.544
588.578,582.033
588.433,583.335
588.173,582.427
587.764,579.475
586.983,576.829
587.537,580.241
587.877,581.458
586.047,570.504
587.896,581.508
586.893,575.204
587.472,580.009
585.932,573.587
587.257,579.254
586.757,577.48
587.485,580.043
586.338,575.906
586.837,577.772
586.69,577.256
587.258,579.244
586.747,577.452
587.104,578.696
586.685,577.232
586.663,577.151
586.339,575.91
586.393,575.626
586.579,576.853
586.856,577.818
586.484,576.508
586.735,577.394
586.631,577.029
586.5,576.563
586.507,576.59
586.515,576.616
586.492,576.515
586.56,576.781
586.56,576.78
586.52,576.574
586.638,577.044
586.812,576.692
586.537,576.694
586.574,576.823
586.781,576.72
586.576,576.827
586.589,576.87
586.552,576.747
586.555,576.745
586.555,576.745
586.558,576.767
586.561,576.779
586.566,576.79
586.562,576.782
593.034,599.788
592.793,598.936
593.113,600.083
593.389,601.075
594.234,603.72
595.024,605.636
593.323,600.839
595.105,605.89
594.114,603.49
594.46,604.45
592.754,598.813
596.643,608.067
595.82,607.261
596.594,607.874
594.456,604.419
592.697,598.61
595.796,607.145
596.628,607.998
592.928,599.427
596.468,607.449
592.945,599.473
595.086,605.596
592.945,599.473
595.0,605.283
592.438,597.664
594.13,603.21
592.997,599.612
593.071,599.833
593.071,599.833
592.931,599.329
591.872,595.641
591.843,595.533
593.226,600.249
593.108,599.616
591.58,594.604
592.62,598.052
509.052,333.031
508.79,332.589
509.208,333.407
593.943,600.686
591.706,595.01
591.824,595.393
591.336,593.731
591.769,594.962
591.333,593.527
590.839,591.94
590.22,587.893
590.607,591.117
590.395,590.339
590.118,589.41
590.645,589.362
589.882,588.524
589.554,586.974
589.795,586.429
588.912,585.02
588.822,584.347
588.872,584.965
588.636,584.132
588.655,584.221
587.346,578.014
587.776,581.074
586.983,576.829
587.813,581.232
588.189,582.536
587.347,579.598
586.029,573.81
586.731,577.429
585.958,573.628
586.429,576.155
587.159,578.909
585.97,573.908
585.955,573.788
586.227,572.254
586.003,574.226
586.69,577.257
586.559,576.79
586.931,576.419
586.249,574.985
586.313,575.812
586.3,575.618
586.961,575.858
586.757,577.477
586.658,577.13
586.759,577.478
586.967,576.007
586.767,577.501
586.447,576.336
586.957,576.24
586.672,577.17
586.603,576.929
586.547,576.442
586.509,576.524
586.647,577.075
586.625,576.999
586.54,576.705
586.584,576.859
586.573,576.694
586.544,576.687
586.708,576.751
586.552,576.748
586.562,576.783
586.555,576.746
586.563,576.784
586.557,576.758
586.566,576.785
586.566,576.785
586.565,576.789
595.996,603.285
593.63,600.549
593.986,601.906
596.221,606.964
592.226,596.728
593.328,600.352
592.251,596.854
591.828,595.318
593.91,602.27
594.967,604.545
594.535,603.933
593.882,602.44
593.578,601.532
595.517,606.417
593.767,602.24
596.221,606.964
593.579,601.653
596.347,607.335
597.749,607.978
595.517,606.417
594.234,603.72
593.609,601.852
594.367,604.181
595.7,606.974
593.89,602.773
594.114,603.49
594.149,603.601
597.812,608.25
594.168,603.654
592.76,598.829
593.928,602.878
593.344,600.912
593.709,602.178
593.173,600.303
593.305,600.772
592.887,599.286
592.628,598.364
593.554,601.592
594.054,603.206
593.486,601.341
593.638,601.797
593.91,602.673
594.889,604.889
593.426,601.032
592.443,597.671
594.277,603.413
593.071,599.833
597.536,607.152
592.776,598.776
593.331,600.391
595.643,604.771
594.6,602.947
593.903,601.493
593.615,600.52
594.996,602.697
593.615,600.52
522.234,394.164
525.703,406.297
536.532,412.293
559.652,483.105
541.22,421.191
545.628,434.585
548.995,444.266
551.529,452.94
558.928,476.061
558.826,476.189
557.401,471.702
560.025,480.82
579.102,547.034
579.102,547.034
578.617,545.791
578.617,545.791
579.094,547.992
579.979,551.254
584.891,567.551
583.483,563.407
582.645,560.963
587.28,575.985
583.665,564.873
584.851,569.056
586.89,576.466
585.424,571.392
587.082,577.356
589.786,585.34
586.466,575.253
587.707,579.63
588.74,582.997
591.184,588.644
588.577,582.886
588.824,583.869
589.699,587.093
588.549,583.021
592.342,594.892
590.339,589.5
589.829,587.747
590.614,590.64
592.405,595.904
591.537,593.778
593.06,598.343
591.996,595.51
592.424,596.886
591.075,592.486
592.011,595.81
592.601,597.569
592.011,595.81
594.497,600.925
509.802,334.956
510.126,335.731
504.697,329.345
510.996,337.903
506.62,333.386
508.082,336.586
513.564,344.354
481.562,303.227
509.706,340.233
515.609,349.479
517.894,355.292
505.359,338.124
518.766,357.57
519.753,360.364
524.385,372.608
524.429,373.01
517.644,365.558
525.872,377.223
527.612,381.734
527.526,381.154
529.297,386.374
523.417,377.731
529.787,387.819
462.166,291.86
520.756,378.044
520.756,378.044
533.154,397.925
525.768,388.233
535.699,404.808
540.421,418.22
524.766,392.571
540.737,419.481
539.716,416.183
381.963,174.351
422.431,221.325
507.176,328.604
503.169,323.049
505.547,326.26
498.265,316.577
435.56,237.152
506.087,327.114
438.769,241.083
500.43,319.582
501.037,320.433
506.388,327.603
507.015,328.494
506.651,328.043
507.481,329.328
451.041,256.351
495.248,312.967
505.565,326.596
507.555,329.529
503.413,323.811
416.859,214.783
505.966,327.221
507.594,329.618
503.782,324.346
485.677,300.71
504.124,324.845
506.477,328.039
461.993,270.313
487.177,302.724
507.709,329.902
506.477,328.039
507.705,329.872
505.011,326.169
506.91,328.767
471.213,282.341
505.744,327.309
473.225,285.005
502.206,322.555
507.995,330.569
502.98,323.815
503.369,324.405
506.382,328.36
495.88,314.659
496.645,315.752
508.199,331.036
507.812,330.458
508.171,330.983
482.942,298.184
498.659,318.715
459.227,267.985
487.557,304.805
462.761,272.87
501.438,323.184
506.404,329.604
508.326,332.138
507.124,331.046
467.391,279.54
591.079,585.745
592.711,591.077
593.943,600.686
588.475,577.426
592.342,596.953
593.69,598.617
593.161,598.024
591.211,593.273
591.769,594.962
591.649,594.245
592.289,594.125
590.496,590.757
590.263,589.927
591.34,591.046
590.124,589.42
590.22,587.892
589.575,587.341
589.554,586.974
589.224,586.105
589.342,586.655
588.607,583.963
588.102,581.923
588.655,584.22
588.303,582.976
587.997,581.88
587.997,581.88
588.3,582.942
586.903,577.761
586.505,576.524
586.768,574.484
586.372,576.07
586.28,575.757
585.932,573.588
587.472,579.998
587.457,579.944
586.338,575.906
586.0,573.974
586.333,575.907
586.788,577.598
586.96,578.195
586.713,577.332
586.454,576.42
586.529,576.685
586.259,575.44
586.94,578.118
586.792,577.596
586.393,575.626
586.526,576.668
586.762,577.489
586.484,576.509
586.429,576.264
586.67,577.162
586.672,577.17
586.535,576.365
586.494,576.534
586.496,576.465
586.56,576.78
586.534,576.686
586.596,576.902
586.53,576.67
586.537,576.656
586.562,576.781
586.58,576.842
586.545,576.724
586.552,576.731
586.575,576.826
586.554,576.756
