"origId","iceLabel","d","T","Points:0","Points:1","Points:2"
626,0,1e-05,602.83,1.1205,0.020345,1.4605e-07
645,0,1e-05,596.09,1.1021,0.028472,-9.2165e-07
589,0,1e-05,606.94,0.93998,0.043989,9.403e-07
650,0,1e-05,592.21,1.1209,0.031578,5.5815e-08
649,0,1e-05,607.96,1.0023,0.03263,-2.9677e-07
657,0,1e-05,597.9,1.0417,0.038823,1.5308e-07
642,0,1e-05,585.93,1.0729,0.044985,-3.1724e-07
509,0,1e-05,483.38,0.78305,0.090163,1.5832e-08
654,0,1e-05,599.05,1.0049,0.042033,-9.5966e-07
659,0,1e-05,606.12,0.94126,0.044706,-9.8891e-08
644,0,1e-05,568.97,1.0145,0.050486,2.1696e-07
611,0,1e-05,614.72,0.90267,0.036447,-1.813e-08
585,0,1e-05,556.51,0.93065,0.056374,1.1711e-07
634,0,1e-05,572.39,0.96145,0.05136,-2.4603e-07
640,0,1e-05,587.27,0.96359,0.048855,6.7042e-08
605,0,1e-05,548.62,0.90959,0.060085,-1.2608e-07
632,0,1e-05,572.81,0.92344,0.05545,1.9925e-07
651,0,1e-05,596.05,0.94782,0.04788,5.0721e-07
662,0,1e-05,604.71,0.89563,0.051679,-2.9122e-08
653,0,1e-05,580.98,0.92627,0.053465,1.8609e-07
629,0,1e-05,505.54,0.88063,0.066532,-6.7073e-07
656,0,1e-05,576.67,0.91615,0.056147,1.0634e-07
663,0,1e-05,604.25,0.81687,0.070043,-1.6242e-07
655,0,1e-05,576.04,0.89256,0.059115,-1.234e-07
637,0,1e-05,619.33,0.75923,0.077659,-8.6058e-08
652,0,1e-05,519.26,0.82965,0.076707,9.2828e-08
681,0,1e-05,611.8,0.77544,0.080501,2.6084e-07
666,0,1e-05,590.77,0.84683,0.066716,2.763e-07
673,0,1e-05,657.39,0.7213,0.087377,-2.3626e-07
665,0,1e-05,596.04,0.82165,0.072615,-1.1643e-06
674,0,1e-05,593.7,0.79497,0.081506,-4.3782e-07
670,0,1e-05,586.92,0.81018,0.077524,-3.2962e-07
646,0,1e-05,579.04,0.75762,0.09494,-7.366e-08
664,0,1e-05,577.1,0.77779,0.088404,-3.2547e-07
633,0,1e-05,666.16,0.71673,0.10681,-1.7053e-07
660,0,1e-05,597.71,0.76123,0.092688,2.7804e-07
661,0,1e-05,675.63,0.69326,0.090334,3.1947e-07
677,0,1e-05,603.94,0.76359,0.09129,-1.7355e-08
658,0,1e-05,632.25,0.74432,0.095693,2.2439e-08
683,0,1e-05,657.22,0.72203,0.095421,2.8954e-07
684,0,1e-05,675.09,0.69002,0.09449,7.985e-08
689,0,1e-05,678.02,0.68335,0.093511,8.6198e-08
675,0,1e-05,653.85,0.72834,0.10086,3.6014e-07
678,0,1e-05,656.46,0.72548,0.10056,7.6436e-07
697,0,1e-05,681.96,0.6701,0.095302,4.7575e-08
699,0,1e-05,679.35,0.67786,0.1006,1.9538e-07
685,0,1e-05,674.65,0.69372,0.10492,-1.2502e-07
682,0,1e-05,665.29,0.7119,0.10059,-2.0197e-07
696,0,1e-05,685.86,0.65959,0.097984,-2.2835e-07
688,0,1e-05,675.91,0.69021,0.1046,8.8978e-08
687,0,1e-05,672.74,0.69931,0.10491,2.7367e-08
667,0,1e-05,681.76,0.68298,0.11702,-1.3814e-07
703,0,1e-05,687.13,0.6562,0.10678,3.9773e-08
671,0,1e-05,676.78,0.69069,0.10832,-4.2705e-07
692,0,1e-05,681.4,0.67463,0.10666,3.5119e-07
693,0,1e-05,679.69,0.68141,0.10798,2.8666e-08
686,0,1e-05,679.7,0.68327,0.11014,3.062e-07
701,0,1e-05,689.57,0.64547,0.10153,2.3682e-07
698,0,1e-05,686.61,0.65926,0.10911,4.5637e-07
679,0,1e-05,685.97,0.66813,0.11977,-7.511e-07
702,0,1e-05,691.99,0.62968,0.094218,7.5395e-08
705,0,1e-05,691.32,0.63129,0.10453,4.6191e-07
700,0,1e-05,691.85,0.62611,0.10738,-4.11e-07
694,0,1e-05,687.93,0.65633,0.11451,-2.357e-08
669,0,1e-05,692.48,0.64148,0.12987,2.5593e-07
680,0,1e-05,689.72,0.65059,0.11894,6.3573e-07
706,0,1e-05,691.24,0.63224,0.11051,3.5917e-07
712,0,1e-05,693.24,0.6069,0.10717,-2.8658e-07
704,0,1e-05,693.48,0.60505,0.10223,-5.7075e-07
708,0,1e-05,693.6,0.60425,0.10066,-4.6021e-09
620,0,1e-05,694.19,0.59576,0.088555,3.2651e-07
707,0,1e-05,693.55,0.60065,0.11036,1.495e-06
710,0,1e-05,693.01,0.6123,0.11466,2.3607e-07
717,0,1e-05,694.03,0.59234,0.10362,1.0598e-07
716,0,1e-05,694.56,0.5913,0.090957,-1.2829e-07
