"origId","d","T","d_nm","Points:0","Points:1","Points:2"
3598,2e-08,500,20,-1.962,0.96721,-6.7606e-09
3693,2e-08,500,20,-2.1607,1.0179,1.6195e-10
3739,2e-08,500,20,-2.0406,0.97376,3.9448e-09
3775,2e-08,500,20,-2.0191,0.94443,6.2049e-09
3777,2e-08,500,20,-2.0178,0.91396,2.1723e-09
3784,2e-08,500,20,-2.0005,0.72522,2.7173e-09
3785,2e-08,500,20,-2.0267,0.82584,7.2558e-10
3786,2e-08,500,20,-2.0494,0.91168,1.0134e-09
3787,2e-08,500,20,-2.0282,0.79262,4.0532e-09
3788,2e-08,500,20,-2.0617,0.92139,-3.3309e-09
3789,2e-08,500,20,-2.0064,0.68651,2.0559e-09
3790,2e-08,500,20,-1.9862,0.51694,2.727e-09
3791,2e-08,500,20,-2.0213,0.69893,3.3303e-09
3792,2e-08,500,20,-2.0178,0.64594,3.3006e-09
3793,2e-08,500,20,-1.9494,0.048661,-1.6993e-10
3794,2e-08,500,20,-2.0935,0.96992,-2.0497e-09
3795,2e-08,500,20,-2.0704,0.85609,-1.7669e-10
3796,2e-08,500,20,-2.03,0.65232,-1.0608e-09
3797,2e-08,500,20,-2.0837,0.89871,3.1626e-09
3798,2e-08,500,20,-1.9783,0.055987,8.1409e-11
3799,2e-08,500,20,-2.0038,0.37867,-6.9967e-10
3800,2e-08,500,20,-2.0684,0.77138,-3.3542e-09
3801,2e-08,500,20,-2.0529,0.64877,-2.33e-10
3802,2e-08,500,20,-2.0026,0.21247,7.0998e-10
3803,2e-08,500,20,-2.1039,0.8872,2.6951e-10
3804,2e-08,500,20,-2.0192,0.34729,6.5627e-10
3805,2e-08,500,20,-2.0873,0.77401,-5.1827e-10
3806,2e-08,500,20,-2.0885,0.78285,-4.3786e-09
3807,2e-08,500,20,-2.1025,0.82497,-7.9274e-11
3808,2e-08,500,20,-2.0314,0.24884,-1.3763e-09
3809,2e-08,500,20,-2.0634,0.51653,-4.2849e-09
3810,2e-08,500,20,-2.1225,0.8905,6.1698e-09
3811,2e-08,500,20,-2.1286,0.87509,-8.1926e-10
3812,2e-08,500,20,-2.0833,0.58726,2.665e-09
3813,2e-08,500,20,-2.1137,0.76394,1.4296e-09
3814,2e-08,500,20,-2.0932,0.58968,-1.1691e-09
3815,2e-08,500,20,-2.1102,0.70972,-6.9668e-10
3816,2e-08,500,20,-2.1397,0.87803,2.9337e-11
3817,2e-08,500,20,-2.1579,0.94413,4.5299e-09
3818,2e-08,500,20,-2.3464,1.0475,-3.5183e-09
3819,2e-08,500,20,-2.1404,0.81241,-6.0773e-10
3820,2e-08,500,20,-2.3668,1.0493,4.7093e-09
3821,2e-08,500,20,-2.1456,0.78936,1.0956e-09
3822,2e-08,500,20,-2.1754,0.94844,4.351e-09
3823,2e-08,500,20,-2.1634,0.85491,-2.6534e-09
3824,2e-08,500,20,-2.1181,0.48435,1.0041e-09
