"origId","iceLabel","d","T","Points:0","Points:1","Points:2"
1068,0,1e-05,604.42,1.0705,0.023403,1.0458e-08
1072,0,1e-05,601.53,1.0688,0.026814,3.1487e-07
1073,0,1e-05,600.63,1.0594,0.029471,-1.5305e-07
1070,0,1e-05,607.12,1.0376,0.024947,-3.3974e-07
1071,0,1e-05,595.52,1.0865,0.03226,-3.5051e-07
1067,0,1e-05,591.59,1.106,0.035523,3.9532e-07
966,0,1e-05,607.91,0.88661,0.050251,-3.9472e-07
1076,0,1e-05,598.25,1.0489,0.036537,-7.7775e-08
1069,0,1e-05,594.39,1.0642,0.0387,-1.3528e-07
1055,0,1e-05,608.35,0.91088,0.045968,3.0661e-07
1007,0,1e-05,579.53,1.0306,0.047841,-9.2381e-08
1045,0,1e-05,501.45,0.94633,0.059251,9.6281e-08
1083,0,1e-05,606.85,0.98411,0.038276,4.5543e-08
1062,0,1e-05,594.4,1.0344,0.042375,4.6504e-07
974,0,1e-05,507.15,0.91291,0.062384,-1.0553e-06
1043,0,1e-05,577.18,0.98982,0.04952,8.8129e-08
1077,0,1e-05,612.86,0.94946,0.035575,-1.1297e-08
1085,0,1e-05,612.36,0.92532,0.038561,1.3966e-07
1084,0,1e-05,612.76,0.91295,0.039713,-1.2372e-07
1088,0,1e-05,606.36,0.92446,0.046256,3.7477e-07
1063,0,1e-05,609.83,0.86531,0.048603,7.2078e-07
1074,0,1e-05,598.54,0.97128,0.045157,-1.1938e-07
1092,0,1e-05,608.81,0.90615,0.04665,7.2948e-07
1082,0,1e-05,603.57,0.94455,0.045314,-3.3589e-07
1052,0,1e-05,566.5,0.94775,0.052919,6.5663e-08
1093,0,1e-05,603.6,0.94074,0.045801,3.5426e-07
1048,0,1e-05,486.36,0.85035,0.073903,-6.3326e-07
1079,0,1e-05,603.95,0.95956,0.043469,6.5045e-08
1081,0,1e-05,602.4,0.95785,0.043873,-3.6159e-07
1087,0,1e-05,608.34,0.9178,0.045853,-3.7253e-08
1075,0,1e-05,607.41,0.90828,0.048613,5.2269e-07
1057,0,1e-05,609.47,0.78004,0.081368,-2.3355e-07
1086,0,1e-05,592.43,0.92301,0.052199,-1.0076e-06
1090,0,1e-05,606.39,0.82719,0.062801,8.5817e-07
1098,0,1e-05,605.48,0.83371,0.063399,1.9578e-07
1080,0,1e-05,589.53,0.91483,0.05424,2.1415e-07
1095,0,1e-05,606.61,0.8081,0.067965,-7.9661e-07
1089,0,1e-05,591.34,0.87355,0.061772,-9.1503e-08
1104,0,1e-05,640.51,0.73673,0.087614,2.014e-07
1097,0,1e-05,609.27,0.77606,0.084568,-5.8375e-07
1107,0,1e-05,649.89,0.72862,0.09016,1.7677e-07
1059,0,1e-05,587.92,0.77831,0.087497,1.8413e-07
1096,0,1e-05,593.47,0.78734,0.083686,-1.626e-08
1019,0,1e-05,616.01,0.75987,0.090632,1.2141e-07
1091,0,1e-05,608.5,0.7646,0.090149,2.2237e-07
1109,0,1e-05,668.09,0.70511,0.093913,2.3646e-07
1106,0,1e-05,626.94,0.75095,0.090005,-1.4697e-07
1103,0,1e-05,648.05,0.73282,0.09631,-3.1369e-07
1094,0,1e-05,680.9,0.67815,0.092116,-2.2646e-07
1108,0,1e-05,633.6,0.74443,0.094385,2.6628e-07
1110,0,1e-05,675.66,0.69008,0.092924,-1.5991e-07
1102,0,1e-05,638.9,0.74026,0.094794,-2.1625e-08
1100,0,1e-05,684.14,0.66666,0.093075,-2.3576e-08
1113,0,1e-05,680.64,0.67278,0.098813,2.8204e-07
1117,0,1e-05,685.32,0.66369,0.092925,1.3118e-07
1112,0,1e-05,669.14,0.70454,0.10022,3.3527e-07
1121,0,1e-05,683.74,0.6649,0.096239,2.2483e-07
1119,0,1e-05,679.62,0.6821,0.10846,-4.1158e-07
1105,0,1e-05,680.17,0.68176,0.10976,-2.8414e-07
1101,0,1e-05,681.52,0.67917,0.11167,3.5643e-08
1115,0,1e-05,690.99,0.63966,0.094409,-1.6274e-08
1126,0,1e-05,689.77,0.6467,0.09813,2.1693e-07
