Area,Length,Points_0,Points_1,Points_2,Points_Magnitude,VertexCount,Volume,Block Number,vtkOriginalCellIds,Point ID,vtkOriginalPointIds
0,0,0.962665,0.0516658,0.0167872,0.964196,0,9.68962e-08,1,1181489,0,2312667
0,0,0.962665,0.0525675,0.0170802,0.96425,0,9.33853e-08,1,2225,1,84243
0,0,0.939594,0.0518923,0.0168608,0.941177,0,9.33853e-08,1,2225,2,84242
0,0,0.939594,0.0510066,0.016573,0.941123,0,9.68962e-08,1,1181489,3,2312666
0,0,0.962665,0.0501894,0.0207891,0.964196,0,9.68962e-08,1,1181489,4,2312795
0,0,0.962665,0.0510653,0.0211519,0.96425,0,9.33853e-08,1,2225,5,84627
0,0,0.939594,0.0504094,0.0208803,0.941177,0,9.33853e-08,1,2225,6,84626
0,0,0.939594,0.049549,0.0205239,0.941123,0,9.68962e-08,1,1181489,7,2312794
0,0,0.962665,0.0534686,0.017373,0.964305,0,9.49552e-08,1,2354,8,84371
0,0,0.939594,0.0527775,0.0171485,0.941231,0,9.36011e-08,1,2375,9,84370
0,0,0.962665,0.0519407,0.0215145,0.964305,0,9.49552e-08,1,2354,10,84755
0,0,0.939594,0.0512694,0.0212365,0.941231,0,9.36011e-08,1,2375,11,84754
0,0,0.939594,0.0536627,0.0174361,0.941287,0,9.40995e-08,1,2483,12,84498
0,0,0.91701,0.0529707,0.0172112,0.9187,0,9.16473e-08,1,2482,13,84497
0,0,0.91701,0.052101,0.0169287,0.918645,0,9.08929e-08,1,2418,14,84369
0,0,0.939594,0.0521293,0.0215927,0.941287,0,9.40995e-08,1,2483,15,84882
0,0,0.91701,0.051457,0.0213142,0.9187,0,9.16473e-08,1,2482,16,84881
0,0,0.91701,0.0506122,0.0209643,0.918645,0,9.08929e-08,1,2418,17,84753
0,0,0.962665,0.0543697,0.0176658,0.96436,0,9.65516e-08,1,2483,18,84499
0,0,0.962665,0.052816,0.0218771,0.96436,0,9.65516e-08,1,2483,19,84883
0,0,0.939594,0.054548,0.0177237,0.941343,0,9.42082e-08,1,53058,20,30400
0,0,0.91701,0.0538404,0.0174938,0.918756,0,9.26374e-08,1,78313,21,30401
0,0,0.939594,0.0529892,0.0219489,0.941343,0,9.42082e-08,1,53058,22,30528
0,0,0.91701,0.0523018,0.0216641,0.918756,0,9.26374e-08,1,78313,23,30529
0,0,0.962665,0.0552708,0.0179586,0.964417,0,9.73498e-08,1,2548,24,30399
